pin_id,board,title,overlay_hook,description,link_slug,pin_image_url,keyword_target,type
p019,7 Tiling Tools UK,The wet saw I'd buy if I was tiling full-time UK,"One wet saw pick","If I was buying one wet saw for full-time UK tiling in 2026, this is it. The bench size, motor, blade, rail length, and price that balance pro output with home storage. Compared against 4 rivals.",best/best-wet-saw-for-tiling,/pin-studio/best-of/best-wet-saw-for-tiling,wet saw for tiling,commercial
p020,2 How to Tile UK DIY,Subfloor prep before tiling: the step nobody explains,"Subfloor prep","Your tile job fails or succeeds before you lay a tile. The 4 subfloor checks (flatness, deflection, moisture, priming), when to use backer board vs self-levelling, and how to tell if the floor is ready.",guides/subfloor-prep-before-tiling,/pin-studio/guides/subfloor-prep-before-tiling,self levelling compound bathroom,how-to
p021,1 Small UK Bathroom Tiling Ideas,Walk-in shower tile ideas for UK small bathrooms,"Walk-in shower tile ideas","Walk-in shower tile ideas built for UK small bathrooms. Floor-to-ceiling drenching, niche placement, drain tile patterns, slip rating rules, and the 3 layouts that make the shower feel bigger.",blog/how-to-tile-a-bathroom-floor,/pin-studio/blog/how-to-tile-a-bathroom-floor,walk in shower tile ideas,inspo
p022,6 Kitchen Splashback & Wall,Zellige kitchen splashback: the 2026 classic,"Zellige kitchen","Zellige kitchen splashback — the handmade texture pulling UK kitchens back to warmth. Which sheen, which grout, how to cut for sockets, and the price-per-metre reality before you fall in love on Pinterest.",best/best-tools-large-format-tiles,/pin-studio/best-of/best-tools-large-format-tiles,kitchen splashback tiles,inspo
p023,8 Tile Grout & Adhesive,Epoxy vs cement grout: which for a UK bathroom,"Epoxy vs cement grout","Epoxy grout stops mould forever but costs 3× and punishes mistakes. Cement grout is forgiving but needs sealing. Which one belongs in your UK bathroom project and the price-per-kg of each.",guides/how-to-choose-tile-grout,/pin-studio/guides/how-to-choose-tile-grout,epoxy vs cement grout,decision
p024,5 Bathroom Floor Tiles UK,Large format bathroom floor tiles: what nobody tells you,"Large format floor tiles","800×800 tiles look incredible in UK bathrooms — if you avoid the 4 installation traps. Lippage, deflection, adhesive bed thickness, and why 600×600 might actually be the sweet spot for DIY.",blog/large-format-tile-installation-guide,/pin-studio/blog/large-format-tile-installation-guide,large format tile installation,how-to
p025,4 2026 UK Tile Trends,Checkerboard tile floors: the 70s revival making it to 2026,"Checkerboard floor 2026","Black-and-cream checkerboard floors. Terracotta checkerboard. The 70s pattern that's 2026's comeback story in UK kitchens and downstairs WCs. Tile size rules, grout colour, and the optical tricks that work.",guides/tile-adhesive-buying-guide,/pin-studio/guides/tile-adhesive-buying-guide,checkerboard tile floor,inspo
p026,7 Tiling Tools UK,Tile levelling systems: do they actually save time,"Tile levelling systems — worth it","Tile levelling systems promise flat floors on the first go. Do they deliver? We tested 3 brands (Raimondi, Rubi, unbranded) on a real job. Which one saves time, which one wastes spacers, which one to skip.",best/best-professional-tiling-starter-kit,/pin-studio/best-of/best-professional-tiling-starter-kit,tile levelling system,commercial
p027,3 Tile Drenching,Sage green drenched bathroom: warm 2026 biophilia,"Sage drench","Sage green drenched bathroom — 2026's biophilic must-pin. Which sage (muted vs punchy), which grout, best fittings to pair (brass, warm brushed nickel), and the skylight or window setup that sings.",blog/large-format-tile-installation-guide,/pin-studio/blog/large-format-tile-installation-guide,sage green bathroom tiles,inspo
p028,2 How to Tile UK DIY,The 5 biggest UK DIY tile mistakes (and how to dodge them),"5 UK DIY tile mistakes","10 years watching first-timers tile. These 5 mistakes wreck 80% of DIY jobs — skipping primer, wrong notch trowel, over-buttering, grouting too soon, sealing never. Exactly how to avoid each.",blog/how-to-tile-a-bathroom-floor,/pin-studio/blog/how-to-tile-a-bathroom-floor,bathroom tile mistakes,how-to
p029,9 UK Bathroom Before & After,Before/after: tiny ensuite turned spa (with numbers),"Tiny ensuite → spa","4m² ensuite transformation. £980 total. 9 days. Tiles, adhesive, grout, trim, tools all listed with UK supplier links and exact prices. What we'd change if we did it again.",best/best-professional-tiling-starter-kit,/pin-studio/best-of/best-professional-tiling-starter-kit,budget bathroom makeover UK,inspo
p030,10 Zellige Terrazzo Handmade,Handmade clay tiles UK: the artisan look on a real budget,"Handmade tiles UK","Handmade clay and zellige tiles are the 2026 artisan look — but UK prices range wild. Stockists under £80/m², the ones worth £200/m², and the lookalike porcelain that fools everyone at 1/4 the price.",guides/tile-adhesive-buying-guide,/pin-studio/guides/tile-adhesive-buying-guide,clay tile bathroom,inspo
